Date,Time,RSNR(dB),Dst(ft),RxBt(V),GPS,GSpd(kmh),Hdg(@),Alt(m),Sats,Rud,Ele,Thr,Ail,S1,S2,SA,SB,SC,SD,SE,SF,LSW,TxBat(V)
2021-10-12,20:23:33.170,0,0,0.0,,0.0,0.00,0,0,12,-4,-1024,1,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:23:34.670,0,0,0.0,,0.0,0.00,0,0,11,-3,-1024,2,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:23:36.170,0,0,0.0,,0.0,0.00,0,0,11,-3,-1024,1,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:23:37.670,0,0,0.0,,0.0,0.00,0,0,11,-5,-1024,2,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:23:39.170,0,0,0.0,,0.0,0.00,0,0,11,-5,-1024,3,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:23:40.670,0,0,0.0,,0.0,0.00,0,0,13,-3,-1024,2,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:23:42.170,0,0,0.0,,0.0,0.00,0,0,11,-4,-1024,4,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:23:43.670,0,0,0.0,,0.0,0.00,0,0,11,-3,-1024,2,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:23:45.170,0,0,0.0,,0.0,0.00,0,0,11,-4,-1024,2,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:23:46.670,0,0,0.0,,0.0,0.00,0,0,11,-5,-1024,1,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:23:48.170,0,0,0.0,,0.0,0.00,0,0,12,-6,-1024,2,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:23:49.670,0,0,0.0,,0.0,0.00,0,0,10,-5,-1024,2,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:23:51.180,0,0,0.0,,0.0,0.00,0,0,11,-4,-1024,1,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:23:52.680,0,0,0.0,,0.0,0.00,0,0,11,-3,-1024,4,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:23:54.180,0,0,0.0,,0.0,0.00,0,0,11,-3,-1024,3,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:23:55.680,0,0,0.0,,0.0,0.00,0,0,11,-4,-1024,1,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:23:57.180,0,0,0.0,,0.0,0.00,0,0,10,-4,-1024,3,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:23:58.680,0,0,0.0,,0.0,0.00,0,0,13,-4,-1024,3,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:24:00.180,0,0,0.0,,0.0,0.00,0,0,11,-2,-1024,2,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:24:01.680,0,0,0.0,,0.0,0.00,0,0,12,-5,-1024,1,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:24:03.180,0,0,0.0,,0.0,0.00,0,0,12,-3,-1024,4,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:24:04.680,0,0,0.0,,0.0,0.00,0,0,11,-2,-1024,3,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:24:06.190,0,0,0.0,,0.0,0.00,0,0,14,-3,-1024,2,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:24:07.690,0,0,0.0,,0.0,0.00,0,0,12,-3,-1024,3,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:24:09.190,0,0,0.0,,0.0,0.00,0,0,13,-4,-1024,2,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:24:10.690,0,0,0.0,,0.0,0.00,0,0,11,-4,-1024,2,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:24:12.190,0,0,0.0,,0.0,0.00,0,0,13,-4,-1024,3,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:24:13.690,0,0,0.0,,0.0,0.00,0,0,13,-2,-1024,2,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:24:15.190,0,0,0.0,,0.0,0.00,0,0,11,-3,-1024,2,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:24:16.690,0,0,0.0,,0.0,0.00,0,0,11,-3,-1024,2,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:24:18.200,0,0,0.0,,0.0,0.00,0,0,13,-3,-1024,3,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:24:19.700,0,0,0.0,,0.0,0.00,0,0,10,-4,-1024,2,1024,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:24:21.200,0,0,0.0,,0.0,0.00,0,0,12,-4,-1024,2,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:24:22.700,0,0,0.0,,0.0,0.00,0,0,12,-3,-1024,2,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:24:24.200,0,0,0.0,,0.0,0.00,0,0,11,-3,-1024,3,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:24:25.700,0,0,0.0,,0.0,0.00,0,0,11,-3,-1024,3,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:24:27.200,0,0,0.0,,0.0,0.00,0,0,11,-5,-1024,2,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:24:28.700,0,0,0.0,,0.0,0.00,0,0,10,-5,-1024,2,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:24:30.200,0,0,0.0,,0.0,0.00,0,0,11,-3,-1024,2,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:24:31.700,0,0,0.0,,0.0,0.00,0,0,11,-3,-1024,2,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:24:33.200,0,0,0.0,,0.0,0.00,0,0,12,-2,-1024,3,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:24:34.700,0,0,0.0,,0.0,0.00,0,0,11,-3,-1024,2,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
